configname,computername,username,job_starting_time,testname,itteration,elapsedtime
mfp-lts-lt.ini,SGH222T6M2,tcaine,2014_01_21_16_28_36,hyxmlout_02_Latestdata_210,5,27.435
mfp-lts-lt.ini,SGH222T6M2,tcaine,2014_01_21_16_28_36,hyxmlout_03_SiteInfo_all,1,122.750
mfp-lts-lt.ini,SGH222T6M2,tcaine,2014_01_21_16_28_36,hyxmlout_03_SiteInfo_all,2,121.393
mfp-lts-lt.ini,SGH222T6M2,tcaine,2014_01_21_16_28_36,hyxmlout_03_SiteInfo_all,3,122.110
mfp-lts-lt.ini,SGH222T6M2,tcaine,2014_01_21_16_28_36,hyxmlout_03_SiteInfo_all,4,121.305
mfp-lts-lt.ini,SGH222T6M2,tcaine,2014_01_21_16_28_36,hyxmlout_03_SiteInfo_all,5,121.290
mfp-lts-lt.ini,SGH222T6M2,tcaine,2014_01_21_16_28_36,hyxmlout_04_Latestdata_all,1,473.071
mfp-lts-lt.ini,SGH222T6M2,tcaine,2014_01_21_16_28_36,hyxmlout_04_Latestdata_all,2,470.514
mfp-lts-lt.ini,SGH222T6M2,tcaine,2014_01_21_16_28_36,hyxmlout_04_Latestdata_all,3,470.870
mfp-lts-lt.ini,SGH222T6M2,tcaine,2014_01_21_16_28_36,hyxmlout_04_Latestdata_all,4,469.196
mfp-lts-lt.ini,SGH222T6M2,tcaine,2014_01_21_16_28_36,hyxmlout_04_Latestdata_all,5,470.000
mfp-mts-lt.ini,SGH222T6M2,tcaine,2014_01_21_17_20_33,hyxmlout_01_SiteInfo_210,1,2.770
mfp-mts-lt.ini,SGH222T6M2,tcaine,2014_01_21_17_20_33,hyxmlout_01_SiteInfo_210,2,2.465
mfp-mts-lt.ini,SGH222T6M2,tcaine,2014_01_21_17_20_33,hyxmlout_01_SiteInfo_210,3,2.465
mfp-mts-lt.ini,SGH222T6M2,tcaine,2014_01_21_17_20_33,hyxmlout_01_SiteInfo_210,4,2.455
mfp-mts-lt.ini,SGH222T6M2,tcaine,2014_01_21_17_20_33,hyxmlout_01_SiteInfo_210,5,2.485
mfp-mts-lt.ini,SGH222T6M2,tcaine,2014_01_21_17_20_33,hyxmlout_02_Latestdata_210,1,32.555
mfp-mts-lt.ini,SGH222T6M2,tcaine,2014_01_21_17_20_33,hyxmlout_02_Latestdata_210,2,31.380
mfp-mts-lt.ini,SGH222T6M2,tcaine,2014_01_21_17_20_33,hyxmlout_02_Latestdata_210,3,31.710
mfp-mts-lt.ini,SGH222T6M2,tcaine,2014_01_21_17_20_33,hyxmlout_02_Latestdata_210,4,31.670
mfp-mts-lt.ini,SGH222T6M2,tcaine,2014_01_21_17_20_33,hyxmlout_02_Latestdata_210,5,31.390
mfp-mts-lt.ini,SGH222T6M2,tcaine,2014_01_21_17_20_33,hyxmlout_03_SiteInfo_all,1,121.470
mfp-mts-lt.ini,SGH222T6M2,tcaine,2014_01_21_17_20_33,hyxmlout_03_SiteInfo_all,2,121.570
mfp-mts-lt.ini,SGH222T6M2,tcaine,2014_01_21_17_20_33,hyxmlout_03_SiteInfo_all,3,121.320
mfp-mts-lt.ini,SGH222T6M2,tcaine,2014_01_21_17_20_33,hyxmlout_03_SiteInfo_all,4,121.455
mfp-mts-lt.ini,SGH222T6M2,tcaine,2014_01_21_17_20_33,hyxmlout_03_SiteInfo_all,5,121.450
mfp-mts-lt.ini,SGH222T6M2,tcaine,2014_01_21_17_20_33,hyxmlout_04_Latestdata_all,1,570.070
mfp-mts-lt.ini,SGH222T6M2,tcaine,2014_01_21_17_20_33,hyxmlout_04_Latestdata_all,2,566.675
mfp-mts-lt.ini,SGH222T6M2,tcaine,2014_01_21_17_20_33,hyxmlout_04_Latestdata_all,3,569.090
mfp-mts-lt.ini,SGH222T6M2,tcaine,2014_01_21_17_20_33,hyxmlout_04_Latestdata_all,4,566.702
mfp-mts-lt.ini,SGH222T6M2,tcaine,2014_01_21_17_20_33,hyxmlout_04_Latestdata_all,5,574.525
lsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_21_18_21_01,hyxmlout_01_SiteInfo_210,1,6.650
lsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_21_18_21_01,hyxmlout_01_SiteInfo_210,2,6.355
lsql-lts-lt.ini,SGH222T6M2,tcaine,2014_01_21_18_21_01,hyxmlout_01_SiteInfo_210,3,6.315
